TI3000825	[rxn18800]
TR1000069	[rxn05301]
TI3000884	[rxn18776]
TR0001031	[rxn13125]
TR0000184	[rxn09299]
TR0000063	[rxn08186]
TI3000768	[rxn18755]
TI3000888	[rxn18781]
TR0000182	[rxn08069]
TI3000765	[rxn18829]
TR1000039	[rxn08854]
TR0002127	[rxn29438]
TI3000891	[rxn18791]
TR0000740	[rxn29672]
TR0001157	[rxn29180]
TR1000393	[rxn05255]
TR1000033	[rxn05582]
TR1000274	[rxn05674]
TR1000035	[rxn05496]
TR1000156	[rxn05669]
TR2000161	[rxn09304]
TR0002803	[rxn33578]
TR1000161	[rxn05300]
TR0004098	[rxn05507]
TR0011624	[rxn32547]
TI3000874	[rxn18772]
TI3000873	[rxn18765]
TI3000752	[rxn18875]
TR0004099	[rxn09185]
TI3000750	[rxn18859]
TI3000757	[rxn18850]
TI3000999	[rxn05641]
TI3000756	[rxn18797]
TR0000051	[rxn08155]
TI3000998	[rxn18835]
TI3001049	[rxn18715]
TI3000755	[rxn18872]
TI3000754	[rxn18887]
TR1001017	[rxn05529]
TI3001051	[rxn18777]
TI3000880	[rxn18722]
TR0000971	[rxn08985]
TR0000058	[rxn05212]
TR1000041	[rxn05217]
TR1001251	[rxn48166]
TR2000030	[rxn08946]
TR0011455	[rxn09703]
TR1000092	[rxn05197]
TR0011456	[rxn09704]
TR0011574	[rxn08956]
TR1015466	[rxn08533]
TI3000785	[rxn18826]
TI3000784	[rxn18775]
TI3000783	[rxn18861]
TR0025981	[rxn29453]
TI3000793	[rxn18808]
TI3000792	[rxn18759]
TR0003279	[rxn08344]
TR0000205	[rxn05206]
TR2000064	[rxn09731]
TR0000209	[rxn09005]
TR2900053	[rxn09836]
TR2900058	[rxn09767]
TR1100009	[rxn05210]
TR2900056	[rxn09273]
TI3000896	[rxn18790]
TI3000775	[rxn18819]
TI3000773	[rxn18716]
TI3000772	[rxn18885]
TI3000778	[rxn18852]
TI3000898	[rxn18708]
TI3001985	[rxn37987]
TI3000776	[rxn18818]
TR1001756	[rxn12570]
TR1000305	[rxn09657]
TR1000549	[rxn05709]
TR0003387	[rxn32983]
TR0000311	[rxn08672]
TI3000780	[rxn18802]
TR0000552	[rxn29228]
TR0000438	[rxn08293]
TR0000314	[rxn08950]
TR0003705	[rxn29198]
TR0004100	[rxn29104]
TR1000637	[rxn12531]
TI3000693	[rxn18786]
TR0003014	[rxn29392]
TR0000306	[rxn09651]
TR0011422	[rxn13123]
TR1000084	[rxn09690]
TI3000797	[rxn18757]
TR0009225	[rxn39133]
TI3000796	[rxn18794]
TR1001608	[rxn44543]
TI3000798	[rxn18882]
TR1000644	[rxn05308]
TO3000758	[rxn08676]
TO3000759	[rxn05195]
TR0000099	[rxn08234]
TR0001186	[rxn29474]
TR0000412	[rxn08377]
TR0000654	[rxn08317]
TR0000532	[rxn09030]
TR0000531	[rxn05586]
TR0001627	[rxn29485]
TR1000085	[rxn05495]
TR1000087	[rxn34534]
TR0020927	[rxn29477]
TR2900000	[rxn09699]
TI3000904	[rxn18854]
TO3001681	[rxn18650]
TI3000907	[rxn18774]
TI3000906	[rxn18714]
TZ2900001	[rxn08188]
TR0000001	[rxn05319]
TR0000242	[rxn10826]
TZ2900002	[rxn05209]
TZ2900003	[rxn05596]
TZ2900004	[rxn29260]
TR0000367	[rxn08290]
TR0000246	[rxn08754]
TR1000218	[rxn12806]
TR0000244	[rxn08991]
TZ2900000	[rxn05514]
TR1001308	[rxn05711]
TR0000009	[rxn09121]
TR1002197	[rxn34420]
TR0000249	[rxn09372]
TR0001217	[rxn09382]
TR2900005	[rxn08153]
TZ2900007	[rxn08233]
TR1003840	[rxn05715]
TR2900015	[rxn34517]
TI3001666	[rxn29101]
TR1000467	[rxn30230]
TR1000104	[rxn09693]
TR1000107	[rxn05243]
TR1000227	[rxn05684]
TR0001562	[rxn29454]
TR1001550	[rxn05723]
TR2900018	[rxn34482]
TR0000239	[rxn08689]
TR1000220	[rxn05645]
TR1000587	[rxn12613]
TI3000925	[rxn18760]
TI3000803	[rxn18825]
TI3000809	[rxn18769]
TR2900025	[rxn34518]
TI3000928	[rxn18761]
TI3000806	[rxn18851]
TI3000801	[rxn18863]
TI3000921	[rxn18888]
TI3000006	[rxn08715]
TI3000248	[rxn18897]
TR0000100	[rxn05581]
TR0000588	[rxn09243]
TR1003828	[rxn07929]
TR0000108	[rxn08585]
TR1000550	[rxn05649]
TR0000589	[rxn29490]
TR2918343	[rxn09779]
TR0002649	[rxn32783]
TI3000912	[rxn18770]
TI3000236	[rxn18746]
TR2000558	[rxn13398]
TI3000910	[rxn18890]
TO3001535	[rxn18589]
TR0000212	[rxn05653]
TR1000320	[rxn12530]
TR1000322	[rxn05244]
